#tail	head	KSP index
SOX1	CTNNB1	529
LRP6	WNT5A	530
TCF4	CTNNB1	531
NFATC2	CSNK1A1	532
AXIN1	LRP6	533
WNT3A	FZD5	534
APC	AXIN1	535
LEF1	CTNNB1	536
GSK3B	ROR2	537
WNT3A	FZD5	538
CTNNB1	AXIN1	539
CTNNB1	AXIN1	540
FZD1	LRP1	541
WNT3	ROR1	542
GSK3B	ROR2	543
CTNNB1	AXIN1	544
PPARG	NLK	
