#tail	head	KSP index
CSNK1A1	AXIN1	450
LRP6	WNT5A	451
WNT3	ROR1	452
WNT3	FZD7	453
NLK	CTNNB1	454
CTNNB1	GSK3B	455
WNT3	FZD7	456
APC	GSK3B	457
ROR2	WNT2	458
SOX1	CTNNB1	459
WNT3A	RYK	460
GSK3B	ROR2	461
FZD8	RYK	462
GSK3B	ROR2	463
LEF1	CTNNB1	464
GSK3B	ROR2	465
LRP6	WNT5A	466
PPARG	NLK	467
GSK3B	ROR2	468
DVL1	GSK3B	469
ROR2	WNT2	470
FRAT1	LRP5	471
TCF4	CTNNB1	472
AXIN1	LRP6	473
CTNNB1	GSK3B	474
TCF4	CTNNB1	475
LRP5	FZD8	476
CTNNB1	AXIN1	477
CTNNB1	AXIN1	478
GSK3B	ROR2	479
ROR2	FZD5	480
LRP6	FZD1	481
AXIN1	LRP6	482
AXIN1	LRP6	483
LRP6	WNT5A	484
ROR2	FZD5	485
TCF3	CTNNB1	486
FZD1	LRP1	487
LRP6	FZD1	488
WNT3	FZD7	489
WNT5A	FZD3	490
WNT7A	FZD9	491
GSK3B	ROR2	492
NLK	CTNNB1	493
CTNNB1	AXIN1	494
TCF3	CTNNB1	495
ROR2	WNT5A	496
CTNNB1	GSK3B	497
WNT3	FZD7	498
ROR2	WNT7A	499
AXIN1	LRP6	500
ROR2	FZD2	501
CTNNB1	AXIN1	502
AXIN1	LRP6	503
ROR2	WNT3	504
ROR2	WNT3	505
NFATC2	CSNK1A1	506
CTNNB1	AXIN1	507
LRP5	FZD8	508
PPARG	NLK	509
ROR2	FZD2	510
ROR2	WNT3	511
GSK3B	ROR2	512
CHD7	NLK	513
CTNNB1	GSK3B	514
LRP6	FZD1	515
CSNK1A1	AXIN1	516
AXIN1	LRP6	517
CTNNB1	AXIN1	518
NFATC2	CSNK1A1	519
WNT3A	FZD5	520
SOX1	CTNNB1	521
CTNNB1	GSK3B	522
GSK3B	ROR2	523
GSK3B	ROR2	524
NFATC2	CSNK1A1	525
AXIN1	LRP6	526
CTNNB1	GSK3B	527
WNT2	FZD9	528
SOX1	CTNNB1	529
AXIN1	LRP6	530
TCF4	CTNNB1	531
FZD1	WNT3	532
CTNNB1	GSK3B	533
LRP6	WNT5A	534
APC	GSK3B	535
WNT5A	FZD3	536
GSK3B	ROR2	537
AXIN1	LRP6	538
AXIN1	LRP6	539
TCF4	CTNNB1	540
NFATC2	CSNK1A1	541
AXIN1	LRP5	542
ROR2	WNT2	543
CTNNB1	AXIN1	
